"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"LABEL";"LCSC_PART_NUMBER";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PROD_ID";"PURCHASE-URL";"SKU";"SPICEPREFIX";
"R24";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R25";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R26";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R27";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R28";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R29";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R30";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R31";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R32";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R33";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R34";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R35";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R36";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R37";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R38";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R39";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R40";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R41";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R42";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R43";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R44";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R45";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R46";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R47";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R48";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R49";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R50";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R51";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R52";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R53";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R54";"68";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R55";"68";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R56";"68";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R57";"68";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R58";"68";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R59";"68";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R60";"68";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R61";"68";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R62";"68";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R63";"68";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R64";"68";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R65";"68";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R66";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R67";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R68";"68";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R69";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R70";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R71";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R72";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R73";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R74";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R75";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R76";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R77";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R78";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R79";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R80";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R81";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R82";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R83";"68";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R84";"68";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R85";"68";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R86";"68";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R87";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R88";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R89";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R90";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R91";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R92";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R93";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R94";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R95";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R96";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R97";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R98";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R99";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R100";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R101";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R102";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R103";"68";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R104";"68";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R105";"68";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"R106";"68";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"C25804";"";"";"";"";"";"";"77";"";"";"";"";"R";
"STAR_1";"B8B-PH-K";"B8B-PH-K";"B8B-PH-K";"HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"STAR_2";"B8B-PH-K";"B8B-PH-K";"B8B-PH-K";"HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"STAR_3";"B8B-PH-K";"B8B-PH-K";"B8B-PH-K";"HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"STAR_4";"B8B-PH-K";"B8B-PH-K";"B8B-PH-K";"HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"STAR_5";"B8B-PH-K";"B8B-PH-K";"B8B-PH-K";"HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"STAR_6";"B8B-PH-K";"B8B-PH-K";"B8B-PH-K";"HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"STAR_7";"B8B-PH-K";"B8B-PH-K";"B8B-PH-K";"HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"STAR_8";"B8B-PH-K";"B8B-PH-K";"B8B-PH-K";"HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"STAR_9";"B8B-PH-K";"B8B-PH-K";"B8B-PH-K";"HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"STAR_10";"B8B-PH-K";"B8B-PH-K";"B8B-PH-K";"HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"STAR_11";"B8B-PH-K";"B8B-PH-K";"B8B-PH-K";"HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"STAR_12";"B8B-PH-K";"B8B-PH-K";"B8B-PH-K";"HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"STAR_13";"B8B-PH-K";"B8B-PH-K";"B8B-PH-K";"HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"STAR_14";"B8B-PH-K";"B8B-PH-K";"B8B-PH-K";"HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"STAR_15";"B8B-PH-K";"B8B-PH-K";"B8B-PH-K";"HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"STAR_16";"B8B-PH-K";"B8B-PH-K";"B8B-PH-K";"HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"STAR_17";"B8B-PH-K";"B8B-PH-K";"B8B-PH-K";"HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"STAR_18";"B8B-PH-K";"B8B-PH-K";"B8B-PH-K";"HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"STAR_19";"B8B-PH-K";"B8B-PH-K";"B8B-PH-K";"HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"STAR_20";"B8B-PH-K";"B8B-PH-K";"B8B-PH-K";"HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$1";"ESP32DEVKITV1";"ESP32DEVKITV1";"ESP32-DEVKITV1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"ULN1";"";"ULN2803SOIC";"SO018";"Darlington Driver(IC-07959, low stock)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
